,id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,target
42,39517,0.04,21545,316090,0,0,0,99.52,8,B,Urban,1
43,66520,0,21542,390130,0,0,0,92.82,22,A,Urban,1
44,3982,0.026,26290,87050,0,0,0,99.32,8,A,Rural,1
45,7217,0.863,18992,92450,3,1,2,98.77,11,B,Urban,0
46,58239,0.273,18262,129110,0,0,0,99.2,6,A,Urban,1
47,79311,0.201,16800,229580,0,0,0,99.05,9,D,Rural,1
48,87338,0.013,33960,73530,0,0,0,99.89,3,A,Rural,1
49,107166,0,22635,242790,0,0,0,99.09,11,B,Rural,1
50,74754,0.043,14974,75050,0,0,0,97.85,11,A,Urban,1
51,74125,0.016,16798,84110,0,0,0,99.18,13,D,Urban,1
52,62956,0.316,21915,132600,0,0,0,98.91,8,A,Urban,1
53,49936,0.292,16075,87630,0,0,0,99.03,11,C,Urban,1
54,30232,0.069,13878,296550,0,0,0,99.5,13,D,Urban,1
55,72182,0.543,13154,96130,0,0,0,98.19,10,C,Urban,1
56,76019,0.659,16440,180120,0,0,0,99.13,12,D,Urban,1
57,85698,0.023,25194,285100,1,0,0,99.1,16,B,Rural,1
58,14238,0.317,12420,175320,0,0,0,98.93,21,A,Rural,1
59,76014,0.376,14610,135070,0,0,0,98.94,12,D,Rural,1
60,48944,0,20810,150120,0,0,0,,5,A,Urban,1
61,91494,0,13875,125060,0,0,0,,10,B,Urban,1
62,16354,0.971,9870,31570,1,1,0,99.17,8,A,Urban,0
63,9326,0.024,20454,180040,0,0,0,98.43,11,C,Rural,1
64,109569,0.368,21905,394170,0,0,0,99.35,12,A,Rural,1
65,108023,0.399,22277,210050,1,0,0,98.9,14,A,Rural,1
66,98832,0.067,14970,300140,0,0,2,99.25,9,B,Rural,1
67,74373,0.001,21175,278920,0,0,0,99.33,12,A,Rural,1
68,49812,0.554,17894,287530,0,1,0,98.55,15,B,Rural,1
69,97679,0.48,26658,494050,0,0,0,98.89,20,B,Urban,1
70,26871,0.225,22272,120020,0,0,0,98.43,9,B,Urban,1
71,43930,0,17896,227150,0,0,0,98.83,11,B,Urban,1
72,70924,0.075,23368,166660,0,0,0,99.34,10,A,Urban,1
73,55135,0.412,9495,161350,0,0,0,99.7,6,B,Urban,1
74,15709,0.842,18987,351130,1,0,0,98.63,12,B,Rural,1
75,99477,0.332,18989,361610,0,0,0,99.64,7,C,Urban,1
76,65014,0.266,18259,187550,1,0,0,,3,A,Urban,1
77,47377,0,8044,24660,0,0,0,,4,A,Urban,1
78,85967,0.194,16072,400070,1,0,0,99.3,18,A,Urban,1
79,3835,0.109,20085,78150,1,0,0,98.12,17,C,Rural,1
80,103459,0.585,16804,60030,0,0,0,98.37,5,B,Urban,0
81,31975,1,16065,329550,0,0,0,99.77,2,D,Urban,0
82,39662,0.568,20811,123060,0,0,0,98.07,9,A,Rural,1
83,70203,0.671,13514,135110,1,0,0,98.9,6,A,Rural,1
84,49811,0.327,21550,55360,1,0,0,,22,A,Urban,0
85,101398,0.997,13877,202650,1,1,2,99.01,10,C,Rural,1
86,105530,0.589,19716,241240,1,0,0,98.86,12,C,Rural,1
87,18063,0.004,15708,195970,0,0,0,99.64,12,C,Rural,1
88,112660,0.07,25200,67050,0,0,0,98.14,14,A,Urban,1
89,47652,0.052,10961,180040,0,0,0,99.83,12,C,Rural,1
90,71894,0.034,23733,266270,0,0,0,99.7,7,C,Urban,1
91,50118,0.046,15706,60050,0,0,0,99.56,11,A,Urban,1
92,34577,0.163,22276,900030,0,0,0,99.66,12,A,Rural,1
93,70808,0.398,20086,299900,0,0,0,99.63,8,B,Urban,1
94,28257,0.056,19350,80090,0,0,0,99.78,9,A,Urban,1
95,41753,0.725,26295,216070,0,0,0,98.6,14,A,Urban,0
96,112926,0.966,28119,191160,0,0,0,98.57,28,B,Urban,1
97,27602,0,11695,162550,0,0,0,98.34,10,B,Urban,1
98,103017,0,15707,90090,0,0,0,99.79,7,B,Rural,1
99,87766,0.738,13148,77200,0,0,0,98.76,17,A,Rural,1
100,25320,0.452,21177,84030,0,0,0,98.92,12,A,Urban,1
101,23319,0.033,13877,184500,0,0,0,99.41,8,B,Urban,1
102,20280,0.503,18257,112540,3,0,0,99.74,13,A,Urban,0
103,55311,0.465,17168,212610,1,3,0,99.62,8,A,Urban,1
104,52009,0.133,21178,138080,0,0,0,99.3,8,A,Urban,1
105,53847,0.538,14971,162070,0,0,0,99.59,5,A,Urban,1
106,102935,0.012,22641,250070,0,0,0,99.64,8,C,Urban,1
107,11525,0.476,8769,42940,0,0,0,99.83,4,A,Urban,1
108,37837,0.028,22278,129110,0,0,0,99.1,6,A,Rural,1
109,59093,0.197,22271,141140,0,0,0,99.31,9,A,Urban,1
110,22049,0.196,23006,309690,0,0,0,99.36,11,A,Urban,1
111,15384,1,9139,63680,0,1,0,99.22,6,A,Urban,0
112,41456,0.003,19717,130930,0,0,0,99.39,7,D,Urban,1
113,33533,0.914,20089,129100,2,0,0,97.87,19,B,Urban,0
114,67310,0.4,19350,412970,0,0,0,98.88,12,C,Urban,1
115,92489,1,18627,147100,1,0,0,99.86,4,D,Rural,1
116,99386,0.027,19721,212600,0,0,0,99.89,7,B,Rural,1
117,92594,0.064,18992,180070,1,0,0,99.88,6,B,Rural,1
118,107672,0,17163,114040,1,0,0,98.9,8,C,Rural,1
119,86579,0.005,25920,46400,0,0,0,99.54,13,A,Urban,1
120,73980,0.914,17526,44270,1,0,0,98.92,9,A,Rural,1
121,69488,0,16073,222810,0,0,0,99.77,17,A,Rural,1
122,32666,0.031,20818,228600,0,0,0,99.19,10,A,Urban,1
123,66499,0,17161,142080,0,0,0,99,8,C,Urban,1
124,24621,0.012,23001,254420,0,0,0,99.52,15,B,Rural,1
125,72759,0.342,14242,312560,0,0,0,98.64,10,D,Urban,1
126,9343,0.008,23009,45120,0,0,0,99.89,9,A,Urban,1
127,40242,0.25,26650,69030,1,0,0,95.47,13,A,Rural,1
128,84091,0.497,18626,272610,0,0,0,99.32,12,B,Urban,1
129,50427,0.02,20816,403370,0,0,0,99.58,14,A,Rural,1
130,23350,0,15336,300030,1,0,0,99.22,17,D,Rural,1
131,66151,0.113,18628,509070,0,0,0,99.26,22,C,Urban,1
132,21078,0.717,13511,270100,0,0,0,99.08,10,B,Urban,1
133,108592,0.016,14979,292810,1,0,0,98.86,20,D,Rural,1
134,78075,0.57,12421,127530,0,0,0,99.65,6,A,Rural,1
135,97113,0.428,22640,465000,0,0,0,99.27,15,A,Urban,1
136,67729,1,15336,173130,0,0,0,98.76,6,A,Urban,1
137,51614,0.041,16072,209070,0,0,0,99.11,11,C,Urban,1
138,93002,0.374,12421,135030,1,0,0,99.53,11,B,Urban,1
139,89351,0.031,21545,57660,0,0,0,98.92,9,A,Urban,1
140,28283,0,26656,315080,0,0,0,,10,A,Urban,1
141,94682,0.108,23365,510070,0,0,0,98.62,12,A,Urban,1
142,93018,0.119,19359,240130,0,0,0,98.71,8,B,Rural,1
143,69587,0.154,23369,180060,0,0,0,98.79,15,A,Rural,1
144,65582,0.798,26656,81480,0,0,0,97.56,16,A,Urban,1
145,85482,0.714,18994,60060,1,0,0,,14,D,Urban,1
146,78715,0.474,11323,66820,0,0,0,98.49,7,B,Urban,1
147,19588,0.745,17893,133650,0,0,0,96.88,5,A,Urban,1
148,25853,0.014,18985,141240,0,0,0,98.82,7,B,Urban,1
149,43725,0.686,14974,326960,0,0,0,98.86,15,B,Urban,1
150,21590,0.723,18988,183660,0,0,0,98.76,5,C,Rural,1
151,96674,0.42,14605,171140,1,0,0,98.47,11,C,Urban,1
152,91945,0,18257,210100,0,0,0,98.52,10,B,Urban,1
153,22969,0.682,13519,177090,0,0,0,98.89,12,D,Urban,1
154,14134,0.664,13512,300480,0,0,0,98.72,14,A,Urban,1
155,85694,0.176,13877,80120,0,0,0,98.66,19,A,Urban,1
156,95746,0.501,14972,208680,0,0,0,99.02,13,C,Rural,1
157,51410,0,16065,42580,0,0,0,99.81,4,C,Urban,1
158,73099,1,15336,210100,,,,,2,A,Urban,0
159,97861,0.246,26294,165130,0,0,0,99.87,5,A,Urban,1
160,70361,0.597,15340,91520,1,0,0,99.8,4,C,Rural,1
161,39238,0.059,19719,173650,0,0,0,99.23,12,C,Urban,1
162,42778,0.165,23001,111100,0,0,0,99.25,9,C,Urban,1
163,90621,0.559,13883,495070,1,0,0,99.1,11,B,Urban,1
164,78378,0.341,16072,75100,0,0,0,99.27,8,A,Urban,1
165,72769,0.941,10233,120070,0,0,0,99.16,9,C,Urban,1
166,109273,0.018,25925,305600,0,0,0,99.89,11,A,Urban,1
167,26002,0.111,18255,159110,0,0,0,99.74,9,C,Rural,1
168,3963,0.155,16439,290070,0,0,0,99.39,8,D,Rural,1
169,21464,0.358,17528,216130,1,0,0,98.83,17,B,Rural,1
170,48621,0.005,31033,100100,0,0,0,,12,A,Rural,1
171,4456,0.002,21178,237070,0,1,0,99.39,25,A,Urban,1
172,15680,0.18,29578,41230,0,0,0,98.86,15,A,Urban,1
173,61448,0.44,8771,75110,0,0,0,99.84,5,A,Rural,1
174,95451,0.03,18989,82650,0,0,0,99.43,6,A,Urban,1
175,27067,0.154,18260,512170,0,0,0,99.36,17,C,Rural,1
176,34242,0.522,23736,235550,0,0,0,98.63,11,B,Rural,1
177,42883,0.032,26657,180110,0,0,0,99.37,12,A,Rural,1
178,79603,0.7,12780,105100,0,0,0,99.09,9,A,Rural,1
179,85611,0.382,18262,150080,0,0,0,99.19,10,A,Urban,1
180,86797,0.042,32125,190040,0,0,0,99.59,6,A,Urban,1
181,14371,0.984,13883,81330,0,0,0,98.42,6,A,Urban,1
182,68227,0.321,20448,97650,1,0,0,97.77,12,A,Urban,1
183,39241,0.057,22638,104210,0,0,0,99.42,10,C,Rural,1
184,55932,0.349,17530,231380,0,0,0,99.81,4,A,Urban,1
185,19854,0.498,18263,60050,0,0,0,96.7,8,A,Rural,1
186,91120,0.704,20081,186200,0,0,0,99.56,6,A,Urban,1
187,94085,0.076,9864,125730,0,0,0,98.44,10,A,Urban,1
188,18143,0,18258,160200,0,0,0,99.7,6,A,Urban,1
189,14020,0.021,18985,87570,0,0,0,98.59,7,A,Urban,1
190,2250,0.515,22636,139810,0,0,0,99.67,8,B,Urban,1
191,113952,1,16072,135060,0,4,1,98.86,6,B,Urban,0
192,41837,0.093,21546,334600,1,0,0,99,18,A,Rural,1
193,1223,0.001,20085,273120,2,0,0,99.25,19,B,Urban,1
194,88335,0.02,29213,120030,0,0,0,99.88,9,A,Urban,1
195,68572,0.029,24830,59490,0,0,0,98.84,8,B,Rural,1
196,10072,0.15,23004,45070,0,0,0,99,14,A,Urban,1
197,103770,0,8045,27900,0,0,0,,4,A,Rural,1
198,9730,0.662,15705,105070,1,0,0,98.78,9,C,Urban,1
199,99956,0.066,8768,56460,0,0,0,99.83,4,A,Urban,1
200,86041,0.438,13518,125150,0,0,0,99.77,12,A,Urban,1
201,12927,0.01,15702,153820,0,0,0,99.37,10,C,Urban,1
202,62658,0.102,17168,582110,0,0,0,99.43,15,D,Urban,1
203,74768,0.005,19716,300030,0,0,0,98.93,11,B,Rural,1
204,67983,0.027,18991,310040,0,0,0,99.3,12,D,Urban,1
205,32343,0.783,22637,108050,0,0,0,98.95,10,A,Urban,1
206,44307,0.008,21906,215030,0,0,0,99.32,7,A,Rural,1
207,29455,0.019,28476,72150,0,0,0,99.84,11,A,Urban,1
208,48652,0.245,13880,201110,0,0,0,99.47,9,A,Urban,1
209,38192,0.112,21176,230190,0,0,0,99.07,8,A,Urban,1
210,86212,0.022,26650,416520,0,0,0,99.49,30,C,Rural,1
211,77468,0.501,20447,552150,0,0,0,99.26,24,B,Rural,1
212,76190,0.162,13882,525150,0,0,0,99.54,20,A,Rural,1
213,13032,0.95,17893,255290,1,0,0,98.71,18,A,Rural,0
214,81732,0.13,18255,208630,0,0,0,97.75,11,B,Urban,1
215,36617,0,13516,150140,0,0,0,97.57,9,D,Urban,1
216,100290,0.003,19356,385050,0,0,0,99.39,21,D,Urban,1
217,50399,0.016,28478,105650,0,0,0,99.89,7,A,Rural,1
218,25821,0.334,19356,514540,0,0,0,98.93,23,B,Urban,1
219,93281,0.38,16437,266830,0,0,0,98.93,17,A,Urban,1
220,71797,0.145,19359,312580,0,0,0,99.36,14,A,Rural,1
221,109493,0.226,22275,604480,0,0,0,98.31,16,A,Rural,1
222,64242,0.178,15700,162660,0,0,0,98.22,15,A,Rural,1
223,39765,0.622,13511,66050,0,0,0,99.2,7,A,Rural,1
224,64855,0.383,23002,174060,0,0,0,99.13,5,A,Urban,1
225,17800,0.012,28110,30120,0,0,0,,3,A,Urban,1
226,68630,0.118,26293,165050,1,0,0,99.43,9,C,Urban,1
227,41836,0.093,29579,52590,0,0,0,98.82,10,A,Rural,1
228,109004,0.929,19350,183100,0,1,0,98.93,9,A,Rural,1
229,13642,0,12425,390030,0,0,0,99.44,11,B,Urban,1
230,45049,0.909,10958,149100,0,0,0,99.13,10,A,Rural,1
231,12880,0.04,18994,62970,0,0,0,98.42,9,A,Urban,1
232,32686,0.259,19356,150060,0,0,0,99.56,12,A,Rural,1
233,15755,0.007,25924,221700,0,0,0,99.53,14,B,Rural,1
234,76936,0.304,23366,105110,0,0,0,97.37,6,A,Rural,1
235,76071,0.005,20454,180110,0,0,0,99.29,16,A,Urban,1
236,38055,0.411,10598,27870,0,0,0,99.12,14,A,Rural,1
237,14708,0.312,15341,177630,0,0,0,99.11,6,A,Urban,1
238,98435,0.021,28477,120110,0,0,0,98.7,11,B,Urban,1
239,6270,0.337,14607,89030,0,1,0,97.4,14,B,Urban,1
240,112630,0.06,18257,37580,0,0,0,98.75,8,A,Rural,1
241,109971,0.478,28120,144100,0,0,0,99.25,14,A,Urban,1
242,43926,0.097,10958,120100,0,0,0,99.62,9,D,Rural,1
243,36817,0.02,20086,255050,0,0,0,98.99,33,C,Rural,1
244,32283,0.354,24098,174140,0,0,0,98.34,19,A,Rural,1
245,107516,0.963,9134,66090,2,0,0,99.19,12,A,Urban,1
246,10693,0.041,19359,270080,0,0,0,99.38,6,A,Urban,1
247,21117,0.3,20451,219580,0,0,0,99.86,3,A,Rural,1
248,42809,0.138,25190,261600,0,0,0,98.9,13,A,Urban,1
249,58573,0.018,22637,249070,0,0,0,99.54,17,A,Urban,1
250,83981,0.389,14980,216060,0,0,0,98.95,13,D,Urban,1
251,86519,0.085,18628,177060,0,0,0,98.7,6,B,Urban,1
252,11689,0.066,16435,334860,0,0,0,99.21,6,C,Urban,1
253,31756,0.067,18265,87540,0,0,0,98.07,8,B,Urban,1
254,93944,0.806,32865,93740,0,0,0,98.59,10,A,Rural,1
255,68865,0.009,18261,269970,1,0,0,98.88,23,A,Rural,1
256,51119,0.076,23009,205500,0,0,0,99.17,9,A,Urban,1
257,86759,0.033,23367,158530,0,0,0,99.56,13,A,Urban,1
258,72619,0,20083,456120,0,0,0,99.32,12,A,Urban,1
259,95370,0.608,23374,271140,0,0,0,98.38,11,A,Urban,1
260,65126,0.036,21912,450140,0,0,0,99.88,22,A,Rural,1
261,79969,0.053,28118,85350,0,0,0,99.83,9,A,Rural,1
262,17452,0.034,12058,216100,0,0,0,99.88,7,C,Rural,1
263,45082,0.443,15339,274610,0,0,0,99.29,9,B,Urban,1
264,23128,0.065,14244,340140,0,0,0,99.32,7,D,Urban,1
265,93577,0,17526,281220,0,0,0,99.11,11,D,Urban,1
266,105470,0.796,17531,774150,1,2,0,99.71,11,B,Urban,0
267,7882,0.985,20450,300150,1,0,1,99.71,13,A,Urban,0
268,56111,1,18259,365110,1,0,0,99.43,6,A,Urban,1
269,42772,0.238,23737,450050,0,0,0,99.59,19,A,Urban,1
270,104249,1,10959,62470,1,0,0,99.56,3,A,Urban,0
271,97880,0.667,18630,151560,1,0,0,98.65,13,A,Urban,0
272,48330,0.901,12057,36440,0,0,0,99.58,5,A,Urban,1
273,72897,0.37,21181,212740,1,0,0,99.18,22,A,Urban,1
274,114006,0.49,18264,240100,0,0,0,98.86,16,D,Urban,1
275,30813,0.652,24830,285120,0,0,0,97.8,20,A,Urban,1
276,71046,0.004,23740,290020,0,0,0,99.69,18,A,Urban,1
277,98383,0.377,25558,337590,0,0,0,99.22,18,C,Urban,1
278,78524,0.163,17160,193490,0,0,0,98.78,29,B,Rural,1
279,13124,0.902,18620,175020,0,0,0,97.2,21,C,Urban,1
280,413,0.544,18258,199590,2,3,1,98.75,10,C,Urban,1
281,22488,0.676,12418,270090,2,0,0,99.62,17,B,Rural,0
282,60184,1,17893,215400,0,0,0,97.09,12,A,Urban,1
283,88919,0.555,19353,287910,2,1,2,99.06,11,B,Rural,0
284,90415,0.097,18264,245570,0,0,0,99.31,13,A,Urban,1
285,95301,0.013,25559,174120,0,0,0,99.89,19,A,Urban,1
286,65974,0.936,16075,187560,0,0,0,99.54,5,B,Urban,1
287,43430,0.9,13515,184960,0,0,0,98.75,12,D,Urban,1
288,113163,0.021,18624,192330,0,0,0,99.47,12,C,Urban,1
289,39058,0.897,18991,73470,0,0,0,98.09,13,A,Urban,1
290,74522,0,19355,278280,0,0,0,99.36,10,C,Rural,1
291,35834,0.878,12424,210090,1,3,0,99.86,4,C,Urban,1
292,18056,0.025,16432,250070,1,0,0,99.36,12,D,Urban,1
293,66297,0.981,18992,33210,0,0,0,96.76,8,A,Urban,1
294,87334,0.417,18624,214750,0,0,0,98.46,12,A,Urban,1
295,9740,0.022,14240,94960,0,0,0,98.92,5,B,Rural,1
296,84461,0,20082,124340,0,0,0,,8,A,Urban,1
297,50930,0.676,20812,400770,2,0,0,99.19,10,A,Urban,1
298,99434,0.723,19724,379410,0,0,0,99.3,15,D,Urban,1
299,70824,0.054,17534,241570,0,0,0,99.36,9,A,Rural,1
300,31477,0.541,18629,604430,0,0,0,99.35,16,D,Rural,1
301,90157,0.004,13154,125080,0,0,0,98.08,11,B,Rural,1
302,51244,0.376,21181,331650,0,0,0,98.88,27,A,Rural,1
303,96529,0.713,18257,50890,0,1,0,98.43,12,A,Rural,1
304,22272,0.019,13878,69750,0,0,0,,4,A,Rural,1
305,110020,0.575,28478,92370,0,0,0,99.51,6,A,Urban,1
306,82889,0.034,27750,125110,0,0,0,99.87,6,B,Rural,1
307,87709,0.516,21184,260250,0,0,0,99.54,8,A,Rural,1
308,9584,0.095,16798,201070,0,0,0,99.71,5,A,Rural,1
309,33717,0.04,25565,39210,1,0,0,99.41,9,A,Urban,1
310,52867,0.211,26660,108130,0,0,0,99.1,12,B,Urban,1
311,68931,0.305,28114,136170,0,0,0,98.24,10,A,Urban,1
312,30023,0.487,25197,202420,0,0,0,99.21,11,D,Urban,1
313,45564,0.042,18625,159720,0,0,0,99.31,8,A,Rural,1
314,45308,0.005,28117,150140,1,0,0,98.73,10,B,Rural,1
315,53412,0.773,15338,304050,1,1,0,99.58,9,C,Urban,1
316,109600,0.239,21540,553550,1,0,0,99.64,11,A,Urban,1
317,106004,0.013,14609,249350,0,0,0,99.36,8,D,Urban,1
318,73345,0.412,16802,412550,1,0,0,99.14,10,A,Urban,1
319,60089,0.254,18990,675110,1,0,0,99.4,13,B,Urban,1
320,112584,0.221,19360,137540,3,2,0,99.33,16,A,Urban,0
321,34832,0.128,23740,170070,0,0,0,99.17,16,A,Rural,1
322,44329,0.053,19350,229020,0,0,0,99.36,7,D,Urban,1
323,41398,0.037,26651,248310,0,0,0,99.75,12,B,Urban,1
324,112010,0.003,16798,180150,0,0,0,98.89,20,B,Urban,1
325,14412,0.501,13876,218760,0,0,0,99.13,6,A,Urban,1
326,83170,0.043,22637,129970,0,0,0,99.07,11,B,Urban,1
327,31749,0.031,19356,195850,0,0,0,99.29,15,D,Urban,1
328,47619,0.797,12784,93050,2,1,1,99.89,10,D,Urban,1
329,83698,0.056,14242,250060,0,0,0,99.69,6,C,Rural,1
330,25388,0.032,12060,179330,0,0,0,99.06,18,A,Rural,1
331,6957,0.037,10964,48070,0,0,0,99.88,4,A,Urban,1
332,22179,0.057,23006,210050,0,0,0,99.35,10,A,Urban,1
333,96617,0.026,28842,189630,0,0,0,99.89,5,A,Rural,1
334,101851,0.1,22644,123490,0,0,0,99.76,6,A,Urban,1
335,1603,0.047,15344,926040,0,0,0,99.35,16,A,Rural,1
336,81679,0.023,18987,387610,0,0,0,99.34,14,A,Urban,1
337,15037,0.026,24465,222050,0,0,0,99.85,9,A,Rural,1
338,52373,0.603,17161,162520,2,0,0,99.01,12,B,Urban,1
339,87825,0.027,23000,236380,0,0,0,99.71,8,A,Rural,1
340,81741,0.01,24466,195100,0,0,0,92.7,19,B,Urban,1
341,59620,1,11685,42060,1,0,0,99.22,3,A,Urban,1
342,104937,0.017,26651,75100,0,0,0,99.88,7,A,Rural,1
343,14745,0.029,21550,80730,0,0,0,99.2,10,A,Urban,1
344,74286,0.038,25196,227070,0,0,0,99.33,22,B,Rural,1
345,33878,0.786,11328,60060,0,0,0,99.62,4,C,Rural,1
346,69376,0.093,25191,297340,0,0,0,98.41,13,A,Urban,1
347,87018,0,19718,430120,0,0,0,99.49,9,D,Rural,1
348,93781,0.934,20086,564200,0,0,0,99.18,10,B,Urban,1
349,21879,0.2,9139,105100,0,0,0,99.73,7,A,Urban,1
350,74264,0.084,21176,727600,0,0,0,99.1,12,B,Urban,1
351,27307,0.027,14974,137640,0,0,0,98.32,10,A,Rural,1
352,20351,0.252,17899,960030,1,0,0,96.07,14,E,Urban,1
353,113863,0.499,24099,80790,2,1,1,97.66,15,C,Rural,1
354,107977,0.665,24101,60120,0,0,1,99.64,4,A,Rural,1
355,47428,0.753,15710,258860,4,2,0,98.74,18,A,Urban,0
356,22663,0.387,10234,120090,0,0,0,99.61,8,B,Urban,1
357,6923,0.697,15705,30070,0,0,0,97.75,10,B,Rural,1
358,11801,1,11690,234040,0,0,0,,2,A,Urban,1
359,77659,0.509,22270,339040,0,0,0,98.92,13,A,Rural,1
360,110428,0.298,31401,90070,0,0,0,99.51,11,A,Rural,1
361,19186,0.018,18995,156140,0,0,0,99.25,16,C,Rural,1
362,69367,0.642,25190,45080,0,0,0,98.54,9,A,Urban,1
363,73359,0.308,19359,310940,0,0,0,97.88,10,A,Rural,1
364,105931,0.029,31769,2910090,0,0,0,99.86,7,A,Rural,1
365,87915,0.275,21908,180090,0,0,0,99.42,8,A,Urban,1
366,65361,0.749,14607,133160,2,0,2,99.68,11,B,Rural,1
367,108508,0.135,18622,390120,0,0,0,99.16,14,D,Rural,1
368,21037,0,15337,281440,0,0,0,99.19,8,D,Urban,1
369,82713,0.03,12056,112620,1,0,0,98.72,21,A,Urban,1
370,47274,0.108,26655,134570,2,0,0,98.48,19,A,Urban,1
371,80467,0.508,12419,36080,2,0,0,97.08,6,A,Urban,1
372,86925,0.892,15707,73320,0,7,0,94.63,12,C,Urban,1
373,56106,0.401,17525,175060,2,0,0,98.68,14,D,Urban,1
374,107424,0.111,18995,625040,0,0,0,98.99,24,A,Urban,1
375,63219,0.654,14249,150080,0,0,0,98.28,7,C,Rural,1
376,5456,0.115,24103,328940,0,0,0,99.48,6,A,Urban,1
377,26981,0.03,22275,76540,0,0,0,99.87,7,A,Urban,1
378,89039,0.303,23003,474770,0,0,0,99.38,11,A,Urban,1
379,52866,0.113,23371,25100,0,0,0,99.48,6,A,Urban,1
380,24504,0.367,25921,102040,0,0,0,98.48,13,B,Urban,1
381,3485,0.022,24098,315090,0,0,0,99.89,12,A,Urban,1
382,48640,0.024,32862,195090,0,0,0,,4,A,Urban,1
383,24117,0.123,17897,250100,1,0,1,99.55,12,A,Urban,1
384,103062,0.118,24826,426310,0,0,0,99.03,9,A,Urban,1
385,94346,0.128,23370,211400,0,0,0,99.48,10,A,Urban,1
386,92188,0,15345,374810,0,0,0,99.33,13,D,Urban,1
387,17707,0.697,16795,101020,1,0,0,99.75,9,B,Urban,1
388,11598,0.304,12783,345120,1,0,0,99.19,12,A,Rural,1
389,90687,0,14240,210150,1,0,0,98.98,8,B,Urban,1
390,12636,0.402,21179,151570,0,0,0,99.1,9,A,Urban,1
391,36099,0,24831,100890,0,0,0,99.87,6,A,Urban,1
392,19167,0.022,14249,300030,0,0,0,98.54,14,C,Urban,1
393,313,0.097,8765,60070,0,0,0,99.81,7,A,Urban,1
394,102590,0,18994,111110,0,0,0,,11,A,Urban,1
395,8045,0.009,10230,54090,0,0,0,97.93,8,A,Urban,1
396,83747,0.477,13153,81050,0,0,0,99.12,8,A,Rural,1
397,31499,0.872,16798,171910,2,0,2,98.82,11,C,Rural,1
